rank,model,mean_cv_wape
1,Seasonal naive 168h,0.13925754288635286
2,Seasonal blend 24h+168h,0.13990277670820356
3,Extra Trees,0.14347241503669564
4,GRU,0.15416989854099997
5,Ridge,0.16793521258187663
6,Transformer,0.17672429344726442
7,Seasonal naive 24h,0.1917132425788947
8,Persistence,0.7026720958381133
