phase,model,target,mae_mean,mae_std,mae_count,rmse_mean,rmse_std,rmse_count,wape_mean,wape_std,wape_count,smape_mean,smape_std,smape_count,mape_mean,mape_std,mape_count,bias_mean,bias_std,bias_count,mase_mean,mase_std,mase_count,rmsse_mean,rmsse_std,rmsse_count
cv,Extra Trees,carts,2782.684997496485,801.1598519821944,3,4268.0002082526835,510.2051024834293,3,0.11013872790720403,0.02529273107207591,3,0.11161688629657218,0.028026445112891124,3,0.11535969786673868,0.030517046586111592,3,605.2565938181367,1096.2725885136385,3,0.7728445931985869,0.2096409289694024,3,0.7556373420988584,0.07874673634307057,3
cv,Extra Trees,orders,1291.3057297183334,213.63336203006136,3,1631.2996433052024,244.62100674529702,3,0.17680610216618728,0.039376330643517504,3,0.17103675004581462,0.022748781438021004,3,0.18551823298276718,0.03115205053201728,3,586.0110703246924,1013.3210155027258,3,0.9030857010384835,0.15679185953516403,3,0.7204946893725731,0.1076241865006059,3
cv,GRU,carts,2891.0451417914496,530.9909064730332,15,4367.053697772085,522.956395224854,15,0.11497963340212893,0.017977459233279244,15,0.12720622174707305,0.023513865325738507,15,0.13758742897694992,0.028356552606701012,15,1208.6766328396268,451.72521739134845,15,0.8036064887189621,0.1372800603629445,15,0.7730062725774844,0.08257311655492583,15
cv,GRU,orders,1410.8459269104003,114.64153357139263,15,1875.2381913024656,189.22225984000917,15,0.19336016367987102,0.027715787604250145,15,0.2000624290792194,0.03937280492363404,15,0.23127804567476815,0.05941110313527388,15,936.7485802035861,652.3926187698639,15,0.985898192282533,0.08091534985727755,15,0.8276759405814265,0.07771106839199601,15
cv,Persistence,carts,17233.86888888889,3067.689113820194,3,21265.865793333887,3350.7412868698157,3,0.6844754814042799,0.07695724593678997,3,0.7970959496236757,0.053396929192416974,3,1.899315290126827,0.2842410305822861,3,655.2744444444444,1625.7240887732435,3,4.794975900934941,0.7881050691196546,3,3.7654378857682236,0.5462652400928028,3
cv,Persistence,orders,5393.149444444444,1440.7954196374128,3,6662.211293344903,1627.6837551384,3,0.7208687102719468,0.08824844978690774,3,0.8474090251297272,0.07252111601796818,3,2.5122899590044883,0.3334114111762878,3,262.435,186.14537055156052,3,3.752525943254266,0.9072220127703453,3,2.9333174155820423,0.656580782705802,3
cv,Ridge,carts,2847.991527603773,240.12670194809164,3,4326.828905419962,70.2173757571911,3,0.11357856966659981,0.004353966975376244,3,0.11428439781824455,0.013409223698200147,3,0.1220888960309894,0.016099275010597634,3,2070.4938394166174,783.5926690911265,3,0.7928236002128631,0.05333033525602584,3,0.7670807045231539,0.018703437375056524,3
cv,Ridge,orders,1574.1343536346506,576.7438269777863,3,2147.889867780728,737.7915606013333,3,0.2222918554971535,0.10833214888553433,3,0.2081349366627827,0.06686253186741538,3,0.2441502841382214,0.09372214985657616,3,1268.4827396098465,976.2645627899294,3,1.1072261720772596,0.4351658892665648,3,0.9533740760314334,0.3473508859504262,3
cv,Seasonal blend 24h+168h,carts,2984.002222222222,1346.5572254313379,3,5082.3281551144,1411.3264805720378,3,0.11940445564623564,0.056344946496585634,3,0.1135210018164128,0.04653444013175087,3,0.12117544547915417,0.05307551263241761,3,1483.7816666666668,1204.8599175581344,3,0.8286395220820024,0.36906842821580516,3,0.8999660483170504,0.24562674552102873,3
cv,Seasonal blend 24h+168h,orders,1189.4908333333333,263.7701496265788,3,1606.893906942,426.656417730566,3,0.16040109777017145,0.026407128252828673,3,0.15138772818394972,0.029373770600910423,3,0.15907003473049486,0.028563108596571317,3,649.0930555555556,785.4471391985787,3,0.8284262632669921,0.167350449801516,3,0.7072514185665303,0.17535975920368996,3
cv,Seasonal naive 168h,carts,3129.010555555555,1202.3753235451775,3,4768.777795651717,1001.9266112755325,3,0.12446586450384604,0.047150234920762,3,0.11777296320949149,0.0427603821794692,3,0.12524584763562066,0.0476844973187919,3,2353.327222222222,1492.4786295523195,3,0.8683859545541256,0.32483583969577895,3,0.8439858205715381,0.16925659225475506,3
cv,Seasonal naive 168h,orders,1120.0144444444445,56.737001285006414,3,1391.6094375456935,43.34562646878983,3,0.15404922126885967,0.027438610279234013,3,0.14367157182290044,0.023366279122543472,3,0.1563784959236558,0.028662345705445933,3,970.4955555555556,300.6245159355463,3,0.7833115421042515,0.05588874991356203,3,0.6147012143338061,0.021655431879736235,3
cv,Seasonal naive 24h,carts,4538.222777777778,2105.745588104875,3,7027.693061870185,1485.2925849965814,3,0.17930783330473635,0.07779092910186625,3,0.1682191189578034,0.07329594818356477,3,0.1760521112405707,0.07724522525846739,3,614.2361111111111,1920.4780046777223,3,1.2576790432896885,0.5684371799511356,3,1.2430442836679896,0.2457769531658365,3
