model,target,mae,rmse,wape,smape,mape
Transformer,carts,3194.642578125,4590.8193359375,0.1269519031047821,0.13084585964679718,0.12827201187610626
Transformer,orders,1042.0234375,1558.3388671875,0.1430252492427826,0.14519718289375305,0.14898237586021423
Ridge,carts,2338.531623732488,3282.4267062898434,0.09293090832238361,0.09119822676518022,0.09348117736120617
Ridge,orders,1086.9858311121054,1509.9940479124448,0.14919666337299525,0.1424385707183976,0.15335444384062105
Seasonal naive,carts,4064.789840628567,5508.525679374516,0.16153068369727597,0.16156400071766625,0.15647586152560874
Seasonal naive,orders,1243.9552724829548,1792.8950882814713,0.17074185396677988,0.1737438961050203,0.17111477801083766
Persistence,carts,14658.257220542595,18432.623962116744,0.5825044844824336,0.7398288348480934,1.6120111269002304
Persistence,orders,4608.622639312048,5793.995648438459,0.6325667739634872,0.8204322246804682,2.3393803588438806
