rank,lookback,feature_set,transformer_layers,wape_mean
1,24,history_only,2,0.15836339443922035
2,24,history_only,1,0.16485921045144394
3,72,history_only,2,0.1705559814969698
4,72,history_only,1,0.17288267860809958
5,24,full,2,0.18457339952389396
6,24,full,1,0.1917700593670209
7,168,full,2,0.20681725690762198
8,72,full,2,0.21219650655984876
9,168,history_only,2,0.21242292473713553
10,168,full,1,0.2151609783371289
11,72,full,1,0.21543114135662716
12,168,history_only,1,0.220116709669431
