index,lookback,feature_set,transformer_layers,target,mae_mean,mae_std,rmse_mean,rmse_std,wape_mean,wape_std,mase_mean,mase_std
0,24,full,1,carts,2577.6316731770835,240.43275254284057,4007.00244140625,198.38587220642822,0.10642623404661815,0.00992707781802589,0.7319160226765372,0.0682706477397628
1,24,full,1,orders,1801.579833984375,76.06198269408371,2216.7925618489585,120.403684519536,0.2771138846874237,0.01169964376098942,1.29406102066331,0.05463474063266777
2,24,full,2,carts,2505.34716796875,176.6896237431932,3935.6333821614585,157.20464268450905,0.10344172517458598,0.007295229271477035,0.7113909072755402,0.05017084791596113
3,24,full,2,orders,1727.4086100260417,99.27670664880867,2111.133544921875,128.83615612029755,0.265705073873202,0.015270460037235103,1.2407843975746213,0.07130969935976962
4,24,history_only,1,carts,2790.4173177083335,286.3133795541234,4174.354654947917,308.7348599549386,0.11521180967489879,0.011821418625151675,0.792336300813489,0.0812984074423791
5,24,history_only,1,orders,1394.5558268229167,100.17996796064939,1743.3664957682292,133.05549831054486,0.2145066112279892,0.01540939468757776,1.0016987882459174,0.07195850505412578
6,24,history_only,2,carts,2602.0719401041665,237.78773539841544,4022.1212565104165,195.06535880105275,0.10743533571561177,0.00981787326256036,0.7388558128523677,0.06751959767764398
7,24,history_only,2,orders,1360.65087890625,136.34713689057358,1683.5561116536458,157.89467607957755,0.20929145316282907,0.02097253167433771,0.9773451233797074,0.09793710597821105
8,72,full,1,carts,3045.792724609375,375.4008114401045,4426.237467447917,311.12323666089856,0.125755841533343,0.015499692098780186,0.8648499008182683,0.10659469763580533
9,72,full,1,orders,1983.5657145182292,236.9398904641947,2479.040771484375,303.70387693081364,0.3051064411799113,0.0364454178105883,1.4247800872667125,0.1701921117821571
10,72,full,2,carts,3063.4989420572915,86.02481718824568,4449.268717447917,139.61146906851405,0.12648690243562064,0.0035518241032888188,0.8698775641520106,0.024426663709594884
11,72,full,2,orders,1936.7548828125,56.870964925936995,2444.18505859375,107.84184832486645,0.29790611068407696,0.008747736036347752,1.3911562247475342,0.040849979295895844
12,72,history_only,1,carts,3062.953857421875,293.18492948057434,4516.301595052083,387.21572374900666,0.12646440168221793,0.012105129630405616,0.8697227878965323,0.0832495774035987
13,72,history_only,1,orders,1425.7249348958333,135.24662833543402,1850.1055094401042,249.43605148967083,0.21930095553398132,0.020803258231178973,1.0240873202693912,0.09714661909705909
14,72,history_only,2,carts,2946.4938151041665,170.51331298036934,4251.61474609375,221.32759518706374,0.12165595094362895,0.007040215005763474,0.8366540714228338,0.0484170904434016
15,72,history_only,2,orders,1426.7330322265625,57.73149591050053,1781.0161539713542,87.78326274411337,0.21945601205031076,0.008880091768120662,1.0248114288745847,0.04146809212286626
16,168,full,1,carts,3285.4419759114585,192.82156858437855,4849.410481770833,215.00049074490298,0.13565057019392648,0.007961294000414086,0.9328980741378629,0.0547514980643372
17,168,full,1,orders,1915.7251790364583,55.23102104794367,2575.8689778645835,154.7527177211381,0.2946713864803314,0.008495480279448147,1.376050749309077,0.03967202014662353
18,168,full,2,carts,3107.2604166666665,471.5188076631868,4568.526041666667,480.5910270833385,0.12829374770323435,0.019468249194085786,0.8823035925779709,0.1338873097786899
19,168,full,2,orders,1855.0646565755208,188.94515486872254,2365.3284505208335,288.20189426438884,0.2853407661120097,0.02906300055023106,1.3324787598090817,0.13571786015058537
20,168,history_only,1,carts,4031.56103515625,277.8017303305972,5822.822265625,496.084222236753,0.16645661989847818,0.011469987990272837,1.1447578599902424,0.07888153287068266
21,168,history_only,1,orders,1779.8846842447917,57.02427597285703,2382.9718424479165,169.49599027995714,0.2737767994403839,0.008771311737578717,1.2784775604769478,0.04096010144874966
22,168,history_only,2,carts,3723.483154296875,421.77470810741715,5173.145182291667,465.6802941322318,0.15373657643795013,0.017414395245330918,1.0572794434345971,0.11976252078057474
23,168,history_only,2,orders,1762.5425618489583,109.36323534338723,2267.2329915364585,164.73611301479917,0.271109273036321,0.016821942623095186,1.2660208465502671,0.07855477580391974
