lookback,feature_set,transformer_layers,seed,parameter_count,runtime_seconds,target,mae,rmse,wape,smape,mape,bias,mase,rmsse
24,history_only,1,42,24400,4.495264311000028,carts,3068.46826171875,4501.68603515625,0.12669208645820618,0.1277901530265808,0.12823514640331268,1506.2591552734375,0.8712885976677262,0.8130358783163689
24,history_only,1,42,24400,4.495264311000028,orders,1478.8675537109375,1867.802001953125,0.22747519612312317,0.1955965906381607,0.21435099840164185,1329.341796875,1.0622592570591718,0.8431483452831602
24,history_only,1,123,24400,5.169599181999956,carts,2496.501220703125,3888.38671875,0.10307648777961731,0.1016593649983406,0.10184386372566223,1270.413330078125,0.7088791090978422,0.702269760292542
24,history_only,1,123,24400,5.169599181999956,orders,1283.809326171875,1603.1063232421875,0.19747190177440643,0.16237112879753113,0.17738980054855347,1207.204833984375,0.9221504235473482,0.723661547752995
24,history_only,1,2026,24400,3.7470879740001237,carts,2806.282470703125,4132.9912109375,0.11586685478687286,0.11622479557991028,0.11620505154132843,1582.475830078125,0.796841195674899,0.7464470803693383
24,history_only,1,2026,24400,3.7470879740001237,orders,1420.9906005859375,1759.191162109375,0.218572735786438,0.1782863885164261,0.19390632212162018,1311.0123291015625,1.0206866841312325,0.7941201366868375
24,history_only,2,42,37104,8.101649018999979,carts,2543.82763671875,3967.947998046875,0.10503052175045013,0.10207337886095047,0.1021692156791687,1304.32470703125,0.7223173991910877,0.7166390815531809
24,history_only,2,42,37104,8.101649018999979,orders,1324.2437744140625,1646.9322509765625,0.20369140803813934,0.1660035252571106,0.18163061141967773,1243.640380859375,0.9511941785756901,0.7434450715464535
24,history_only,2,123,37104,7.907871085999886,carts,2398.81787109375,3859.868408203125,0.09904330223798752,0.09722401946783066,0.09726134687662125,1111.3370361328125,0.6811420163736159,0.6971191578313983
24,history_only,2,123,37104,7.907871085999886,orders,1246.202880859375,1547.1917724609375,0.19168739020824432,0.16289746761322021,0.17779797315597534,1162.83642578125,0.8951380014017334,0.6984210460831896
24,history_only,2,2026,37104,3.741468326999893,carts,2863.5703125,4238.54736328125,0.11823218315839767,0.11927973479032516,0.11908308416604996,1468.05419921875,0.8131080229923994,0.7655112270903289
24,history_only,2,2026,37104,3.741468326999893,orders,1511.5059814453125,1856.5443115234375,0.23249556124210358,0.19641880691051483,0.21412475407123566,1366.48974609375,1.0857031901616985,0.8380665229748764
24,full,1,42,24560,8.700645752000128,carts,2351.33544921875,3876.3720703125,0.09708283096551895,0.08999309688806534,0.09154549241065979,1326.074951171875,0.6676594285673588,0.700099850683993
